ts,lat,lon,sog
2021-12-13 06:55:07,55.244158,14.2318,2.2
2021-12-13 06:55:10,55.24412,14.231802,1.9
2021-12-13 06:55:13,55.244093,14.231815,1.7
2021-12-13 06:55:21,55.244032,14.231832,2.0
2021-12-13 06:55:30,55.243923,14.23177,2.2
2021-12-13 06:55:34,55.243892,14.23174,2.5
2021-12-13 06:55:37,55.243855,14.231725,2.5
2021-12-13 06:55:40,55.24382,14.231718,2.8
2021-12-13 06:55:44,55.24378,14.231745,2.3
2021-12-13 06:55:47,55.243738,14.23178,4.4
2021-12-13 06:55:52,55.24362,14.231837,5.8
2021-12-13 06:55:53,55.243567,14.231848,6.4
2021-12-13 06:56:01,55.243353,14.23189,5.2
2021-12-13 06:56:04,55.243317,14.231905,3.3
2021-12-13 06:56:07,55.243275,14.231903,2.9
2021-12-13 06:56:10,55.243233,14.231852,2.8
2021-12-13 06:56:14,55.243208,14.2318,2.8
2021-12-13 06:56:17,55.24318,14.231725,1.8
2021-12-13 06:56:21,55.243173,14.231685,1.0
2021-12-13 06:56:24,55.243175,14.231653,2.4
2021-12-13 06:56:27,55.24318,14.231643,2.4
2021-12-13 06:56:30,55.243207,14.231635,2.0
2021-12-13 06:56:34,55.243235,14.231613,2.4
2021-12-13 06:56:37,55.243243,14.231593,1.2
2021-12-13 06:56:40,55.243238,14.231587,1.0
2021-12-13 06:56:47,55.243227,14.231577,1.4
2021-12-13 06:56:52,55.243248,14.231617,1.7
2021-12-13 06:56:57,55.243265,14.231607,0.9
2021-12-13 06:57:01,55.243268,14.231595,0.8
2021-12-13 06:57:10,55.243287,14.231598,0.6
2021-12-13 06:57:17,55.243305,14.231565,1.1
2021-12-13 06:57:21,55.243305,14.231552,0.5
2021-12-13 06:57:23,55.243307,14.231572,0.8
2021-12-13 06:57:27,55.243308,14.231582,1.0
2021-12-13 06:57:34,55.243315,14.231597,2.5
2021-12-13 06:57:37,55.243345,14.231647,3.8
2021-12-13 06:57:40,55.243345,14.231647,3.8
2021-12-13 06:57:40,55.24339,14.231702,4.1
2021-12-13 06:57:47,55.243425,14.231903,3.0
2021-12-13 06:57:52,55.243403,14.231993,2.9
2021-12-13 06:57:54,55.243377,14.232063,3.0
2021-12-13 06:57:58,55.243345,14.23211,2.3
2021-12-13 06:58:01,55.2433,14.232157,2.8
2021-12-13 06:58:04,55.243265,14.232193,3.0
2021-12-13 06:58:07,55.24324,14.232213,1.6
2021-12-13 06:58:10,55.243225,14.23223,1.6
2021-12-13 06:58:14,55.243208,14.23224,1.7
2021-12-13 06:58:17,55.243195,14.232257,1.6
2021-12-13 06:58:21,55.243167,14.232267,1.4
2021-12-13 06:58:24,55.243153,14.232275,1.3
2021-12-13 06:58:27,55.243135,14.23231,1.7
2021-12-13 06:58:30,55.243118,14.232335,1.5
2021-12-13 06:58:34,55.243095,14.232377,2.0
2021-12-13 06:58:37,55.243082,14.232428,1.8
2021-12-13 06:58:44,55.243067,14.23253,1.5
2021-12-13 06:58:47,55.243063,14.232565,1.4
2021-12-13 06:58:51,55.24306,14.232597,0.9
2021-12-13 06:58:54,55.243057,14.232622,1.7
2021-12-13 06:59:01,55.243052,14.232698,0.6
2021-12-13 06:59:04,55.243053,14.232705,0.9
2021-12-13 06:59:07,55.243057,14.232708,0.8
2021-12-13 06:59:10,55.243058,14.232728,1.1
2021-12-13 06:59:13,55.24305,14.232772,1.4
2021-12-13 06:59:21,55.243047,14.232827,1.3
2021-12-13 06:59:24,55.243042,14.23285,0.8
2021-12-13 06:59:27,55.24303,14.232873,2.0
2021-12-13 06:59:30,55.242988,14.232875,2.9
2021-12-13 06:59:37,55.242892,14.232905,3.2
2021-12-13 06:59:41,55.242878,14.232995,3.6
2021-12-13 06:59:44,55.242893,14.23306,1.8
2021-12-13 06:59:48,55.242915,14.23309,2.0
2021-12-13 06:59:51,55.242937,14.233093,1.5
2021-12-13 06:59:54,55.242948,14.233088,0.6
2021-12-13 06:59:57,55.24295,14.233093,0.8
2021-12-13 07:00:01,55.242943,14.23311,1.1
2021-12-13 07:00:04,55.24294,14.233115,1.0
2021-12-13 07:00:07,55.242943,14.233138,1.9
2021-12-13 07:00:10,55.242957,14.233148,1.8
2021-12-13 07:00:21,55.243007,14.233087,2.0
2021-12-13 07:00:24,55.243025,14.233052,1.8
2021-12-13 07:00:27,55.243042,14.233017,1.7
2021-12-13 07:00:31,55.243052,14.232988,1.3
2021-12-13 07:00:37,55.243082,14.232963,2.3
2021-12-13 07:00:41,55.243113,14.232928,2.1
2021-12-13 07:00:44,55.24314,14.232908,2.2
2021-12-13 07:00:47,55.243163,14.232887,0.7
2021-12-13 07:00:57,55.243195,14.232865,0.8
2021-12-13 07:01:01,55.24321,14.232857,0.9
2021-12-13 07:01:07,55.24322,14.232855,0.9
2021-12-13 07:01:10,55.243227,14.232847,0.7
2021-12-13 07:01:17,55.243232,14.232848,1.2
2021-12-13 07:01:21,55.243232,14.23285,0.8
2021-12-13 07:01:24,55.24324,14.232843,0.9
2021-12-13 07:01:27,55.243248,14.232838,1.7
2021-12-13 07:01:31,55.243255,14.232828,1.0
2021-12-13 07:01:37,55.243253,14.232813,1.2
